dist_m,el_m
74298.76301,-149.2028351
74650.88985,-151.3673706
75003.01669,-152.5616455
75355.14353,-153.8928528
75707.27037,-155.3397217
76059.39721,-157.3307037
76411.52404,-159.4393616
76763.65088,-160.7725677
77115.77772,-163.7843018
77467.90456,-168.4383545
77820.0314,-170.4109497
78172.15824,-172.1100006
78524.28508,-174.5305634
78876.41192,-178.5054474
79228.53876,-181.68013
79580.6656,-184.3943787
79932.79243,-187.492981
80284.91927,-191.6450806
80637.04611,-198.3757324
80989.17295,-200.6833191
81341.29979,-202.8390808
81693.42663,-207.0502319
82045.55347,-214.966156
82397.68031,-220.4672241
82749.80715,-226.4085999
83101.93398,-234.8651733
83454.06082,-244.5768738
83806.18766,-248.9105835
84158.3145,-250.0001221
84510.44134,-256.167511
84862.56818,-262.4349976
85214.69502,-273.2874146
85566.82186,-280.3739624
85918.9487,-290.2449951
86271.07553,-296.1564331
86623.20237,-301.4290161
86975.32921,-304.9277344
87327.45605,-310.4525146
87679.58289,-315.4127808
88031.70973,-324.5593872
88383.83657,-330.0138855
88735.96341,-336.9055176
89088.09025,-342.2848816
89440.21708,-349.9928894
89792.34392,-354.0848694
90144.47076,-364.3619995
90496.5976,-373.684021
90848.72444,-388.7155762
91200.85128,-395.9836426
91552.97812,-401.5613403
91905.10496,-406.9515991
92257.2318,-417.7207642
92609.35864,-420.3905334
92961.48547,-429.3787231
93313.61231,-435.0057678
93665.73915,-439.4038086
94017.86599,-442.5081787
94369.99283,-444.6002502
94722.11967,-445.4632263
95074.24651,-447.3143005
95426.37335,-449.7319031
95778.50019,-452.8247986
96130.62702,-452.25354
96482.75386,-458.1807556
96834.8807,-459.7080078
97187.00754,-467.411377
97539.13438,-467.4961853
97891.26122,-469.9015808
98243.38806,-474.7683716
98595.5149,-484.2120667
98947.64174,-482.5818176
99299.76857,-487.8818054
99651.89541,-490.9987488
100004.0223,-494.6186523
100356.1491,-492.7102966
100708.2759,-493.4839172
101060.4028,-495.7779541
101412.5296,-503.4131775
101764.6564,-510.7117004
102116.7833,-523.1976318
102468.9101,-544.3943481
102821.037,-609.7722168
103173.1638,-633.0654907
103525.2906,-663.0441284
103877.4175,-690.3947754
104229.5443,-757.7879028
104581.6712,-777.8217773
104933.798,-797.3737183
105285.9248,-817.3197632
105638.0517,-859.3238525
105990.1785,-874.3757324
106342.3054,-888.1676636
106694.4322,-899.9897461
107046.559,-927.8548584
107398.6859,-943.5090332
107750.8127,-953.1005859
108102.9395,-964.501709
108455.0664,-995.0332031
108807.1932,-1003.603027
109159.3201,-1011.929321
109511.4469,-1023.385498
109863.5737,-1045.718384
110215.7006,-1054.793701
110567.8274,-1063.87207
110919.9543,-1077.635376
111272.0811,-1106.049805
111624.2079,-1148.630127
111976.3348,-1172.604614
112328.4616,-1195.979126
112680.5885,-1210.524658
113032.7153,-1229.954102
113384.8421,-1230.781982
113736.969,-1230.131592
114089.0958,-1208.522705
114441.2226,-1258.678345
114793.3495,-1310.25647
115145.4763,-1354.150513
115497.6032,-1404.870483
115849.73,-1530.736938
116201.8568,-1574.535278
116553.9837,-1631.338013
116906.1105,-1620.178955
117258.2374,-1614.711182
117610.3642,-1598.768066
117962.491,-1585.519775
118314.6179,-1566.180908
118666.7447,-1549.289429
119018.8716,-1530.106445
119370.9984,-1519.624878
119723.1252,-1508.110718
120075.2521,-1501.256592
120427.3789,-1488.914063
120779.5057,-1473.029541
121131.6326,-1446.478027
121483.7594,-1436.598145
121835.8863,-1410.109009
122188.0131,-1387.703857
122540.1399,-1350.63623
122892.2668,-1334.431396
123244.3936,-1304.523438
123596.5205,-1292.904541
123948.6473,-1271.771729
124300.7741,-1257.934082
124652.901,-1244.935425
125005.0278,-1240.529541
125357.1547,-1246.223389
125709.2815,-1250.031006
126061.4083,-1253.937988
126413.5352,-1286.221924
126765.662,-1389.824219
127117.7888,-1387.335205
127469.9157,-1395.56604
127822.0425,-1459.255493
128174.1694,-1509.649414
128526.2962,-1475.776245
128878.423,-1422.777832
129230.5499,-1372.413086
129582.6767,-1296.315674
129934.8036,-1276.189575
130286.9304,-1272.805542
130639.0572,-1299.195557
130991.1841,-1285.032471
131343.3109,-1250.602051
131695.4378,-1250.056641
132047.5646,-1253.80481
132399.6914,-1266.22522
132751.8183,-1296.897583
133103.9451,-1328.045532
133456.0719,-1381.485229
133808.1988,-1409.289307
134160.3256,-1436.843506
134512.4525,-1534.380737
134864.5793,-1637.035522
135216.7061,-1847.522583
135568.833,-1926.029663
135920.9598,-1948.889038
136273.0867,-1950.286377
136625.2135,-1943.14209
136977.3403,-1938.050049
137329.4672,-1933.734009
137681.594,-1931.311279
138033.7209,-1930.942017
138385.8477,-1932.8302
138737.9745,-1933.038696
139090.1014,-1925.522461
139442.2282,-1891.965576
139794.355,-1890.437012
140146.4819,-1867.613525
140498.6087,-1829.731812
140850.7356,-1766.93811
141202.8624,-1720.824585
141554.9892,-1653.300049
141907.1161,-1637.435669
142259.2429,-1585.274292
142611.3698,-1558.527954
142963.4966,-1547.980347
143315.6234,-1532.909424
143667.7503,-1508.042358
144019.8771,-1489.892334
144372.004,-1480.326782
144724.1308,-1474.838623
145076.2576,-1463.292969
145428.3845,-1502.492432
145780.5113,-1549.48645
146132.6382,-1604.061279
146484.765,-1738.0354
146836.8918,-1931.13855
147189.0187,-1989.093262
147541.1455,-2002.574219
147893.2723,-2001.392578
148245.3992,-2000.188721
148597.526,-2000.632324
148949.6529,-1995.371338
149301.7797,-2031.274902
149653.9065,-2076.029297
150006.0334,-2092.021484
150358.1602,-2097.268066
150710.2871,-2100.219727
151062.4139,-2099.761963
151414.5407,-2102.3479
151766.6676,-2111.013672
152118.7944,-2120.272949
152470.9213,-2124.296387
152823.0481,-2134.378906
153175.1749,-2133.242676
153527.3018,-2110.766113
153879.4286,-2102.87207
154231.5554,-2130.090332
154583.6823,-2149.406494
154935.8091,-2153.541992
155287.936,-2156.690918
155640.0628,-2157.549805
155992.1896,-2159.60498
156344.3165,-2164.520996
156696.4433,-2166.687744
157048.5702,-2169.172363
157400.697,-2169.763184
157752.8238,-2167.689209
158104.9507,-2165.275146
158457.0775,-2160.65332
158809.2044,-2157.443848
159161.3312,-2149.927002
159513.458,-2138.768066
159865.5849,-2125.6875
160217.7117,-2120.274902
160569.8385,-2120.631836
160921.9654,-2134.009766
161274.0922,-2145.946777
161626.2191,-2151.597656
161978.3459,-2167.019531
162330.4727,-2186.762207
162682.5996,-2216.402344
163034.7264,-2262.015137
163386.8533,-2291.752686
163738.9801,-2301.683105
164091.1069,-2308.054688
164443.2338,-2315.805176
164795.3606,-2324.545898
165147.4875,-2328.11084
165499.6143,-2330.772949
165851.7411,-2332.253906
166203.868,-2333.068359
166555.9948,-2331.801758
166908.1216,-2331.20166
167260.2485,-2328.995117
167612.3753,-2324.664795
167964.5022,-2322.493164
168316.629,-2319.97168
168668.7558,-2317.690918
169020.8827,-2313.093262
169373.0095,-2313.003418
169725.1364,-2317.12207
170077.2632,-2326.975586
170429.39,-2358.38208
170781.5169,-2373.773438
171133.6437,-2382.410645
171485.7706,-2388.479004
171837.8974,-2402.897461
172190.0242,-2410.499512
172542.1511,-2418.021729
172894.2779,-2426.252441
173246.4047,-2445.968506
173598.5316,-2452.404297
173950.6584,-2461.801758
174302.7853,-2472.836914
174654.9121,-2488.863281
175007.0389,-2491.162598
175359.1658,-2489.665039
175711.2926,-2486.780762
176063.4195,-2478.202148
176415.5463,-2463.412354
176767.6731,-2450.013184
177119.8,-2433.122559
177471.9268,-2406.253418
177824.0537,-2393.175293
178176.1805,-2388.417969
178528.3073,-2388.225098
178880.4342,-2395.358154
179232.561,-2400.4729
179584.6878,-2403.732422
179936.8147,-2413.655273
180288.9415,-2450.23584
180641.0684,-2533.602539
180993.1952,-2613.312988
181345.322,-2704.720459
181697.4489,-2770.991211
182049.5757,-2756.070313
182401.7026,-2748.177734
182753.8294,-2748.455811
183105.9562,-2758.709473
183458.0831,-2765.076904
183810.2099,-2767.156738
184162.3368,-2765.964355
184514.4636,-2759.636475
184866.5904,-2752.426514
185218.7173,-2726.20752
185570.8441,-2700.081543
185922.9709,-2649.867432
186275.0978,-2598.989258
186627.2246,-2543.989258
186979.3515,-2529.607422
187331.4783,-2597.377441
187683.6051,-2708.331299
188035.732,-2859.89209
188387.8588,-2894.677979
188739.9857,-2901.133057
189092.1125,-2901.305664
189444.2393,-2900.209717
189796.3662,-2899.115234
190148.493,-2897.18335
190500.6199,-2896.590332
190852.7467,-2895.755859
191204.8735,-2893.641113
191557.0004,-2888.630127
191909.1272,-2887.77002
192261.254,-2886.86377
192613.3809,-2882.875977
192965.5077,-2875.385254
193317.6346,-2847.794189
193669.7614,-2793.254639
194021.8882,-2740.388184
194374.0151,-2690.761719
194726.1419,-2691.565674
195078.2688,-2710.895996
195430.3956,-2793.66333
195782.5224,-2930.01123
196134.6493,-2980.782959
196486.7761,-2998.958984
196838.903,-3005.856934
197191.0298,-3005.688477
197543.1566,-3001.662109
197895.2835,-2996.609375
198247.4103,-2986.453613
198599.5371,-2981.044922
198951.664,-2977.093262
199303.7908,-2974.124268
199655.9177,-2969.157227
200008.0445,-2972.496094
200360.1713,-2972.071045
200712.2982,-2972.121582
201064.425,-2972.552734
201416.5519,-2974.172363
201768.6787,-2975.197266
202120.8055,-2976.291016
202472.9324,-2977.42334
202825.0592,-2979.765625
203177.1861,-2980.972656
203529.3129,-2982.203125
203881.4397,-2983.45752
204233.5666,-2986.037598
204585.6934,-2987.348633
204937.8202,-2988.661621
205289.9471,-2989.958984
205642.0739,-2992.456543
205994.2008,-2993.633545
206346.3276,-2994.748535
206698.4544,-2995.812988
207050.5813,-2997.72168
207402.7081,-2998.569336
207754.835,-2999.319336
208106.9618,-2999.880371
208459.0886,-3000.855957
208811.2155,-3002.194824
209163.3423,-3003.6521
209515.4692,-3005.335938
209867.596,-3008.347168
210219.7228,-3011.168457
210571.8497,-3013.287598
210923.9765,-3015.483398
211276.1033,-3019.074707
211628.2302,-3022.48291
211980.357,-3024.933594
212332.4839,-3027.418945
212684.6107,-3031.254883
213036.7375,-3034.873535
213388.8644,-3037.311035
213740.9912,-3039.703613
214093.1181,-3043.134521
214445.2449,-3046.236328
214797.3717,-3047.95752
215149.4986,-3049.253174
215501.6254,-3050.427246
215853.7523,-3051.935791
216205.8791,-3052.802246
216558.0059,-3053.305664
216910.1328,-3054.477051
217262.2596,-3054.938965
217614.3865,-3054.89917
217966.5133,-3055
218318.6401,-3055.827881
